USPS|GEOID|GEOIDFQ|NAME|LOGRADE|HIGRADE|ALAND|AWATER|ALAND_SQMI|AWATER_SQMI|INTPTLAT|INTPTLONG
AZ|0400004|9500000US0400004|Clarkdale-Jerome Elementary District|PK|08|211291230|380983|81.58|0.147|34.747974|-112.111623
AZ|0400005|9500000US0400005|Salome Consolidated Elementary District|PK|08|1552184520|0|599.302|0.|33.605858|-113.771707
AZ|0400022|9500000US0400022|Vernon Elementary District|KG|12|565441355|515031|218.318|0.199|34.215664|-109.691538
AZ|0400480|9500000US0400480|Aguila Elementary District|KG|12|728076176|0|281.112|0.|33.816569|-113.236378
AZ|0400600|9500000US0400600|Alhambra Elementary District|PK|08|32858339|53403|12.687|0.021|33.508562|-112.136459
AZ|0400630|9500000US0400630|Alpine Elementary District|KG|12|453461028|1414889|175.082|0.546|33.80426|-109.245302
AZ|0400750|9500000US0400750|Apache Elementary District|KG|12|656526473|1250405|253.486|0.483|31.668567|-109.161432
AZ|0400840|9500000US0400840|Arlington Elementary District|PK|08|1835424975|53344|708.662|0.021|33.335486|-113.047754
AZ|0400870|9500000US0400870|Ash Creek Elementary District|PK|08|530664914|232916|204.891|0.09|31.879056|-109.539713
AZ|0400960|9500000US0400960|Avondale Elementary District|PK|08|74373664|26142|28.716|0.01|33.431745|-112.386562
AZ|0401050|9500000US0401050|Balsz Elementary District|PK|08|22648256|107523|8.745|0.042|33.46186|-111.973578
AZ|0401080|9500000US0401080|Beaver Creek Elementary District|KG|12|472205864|36349|182.32|0.014|34.694723|-111.673152
AZ|0401230|9500000US0401230|Blue Elementary District|PK|12|1074853448|714969|415.003|0.276|33.510722|-109.129127
AZ|0401260|9500000US0401260|Bonita Elementary District|KG|12|1604634055|319188|619.553|0.123|32.56834|-110.137147
AZ|0401290|9500000US0401290|Bouse Elementary District|PK|08|1776099255|581303|685.756|0.224|33.943023|-114.022029
AZ|0401380|9500000US0401380|Buckeye Elementary District|PK|08|486495458|0|187.837|0.|33.266529|-112.596067
AZ|0401500|9500000US0401500|Bullhead City School District|PK|08|1162674913|51266767|448.911|19.794|35.362569|-114.542917
AZ|0401650|9500000US0401650|Canon Elementary District|KG|12|442862112|0|170.99|0.|34.205509|-112.214549
AZ|0401680|9500000US0401680|Cartwright Elementary District|PK|08|36423451|56987|14.063|0.022|33.485719|-112.197374
AZ|0401710|9500000US0401710|Casa Grande Elementary District|PK|08|926135606|338526|357.583|0.131|32.836488|-111.790951
AZ|0401920|9500000US0401920|Chevelon Butte School District|KG|12|1617206666|2034365|624.407|0.785|34.52007|-110.949838
AZ|0402130|9500000US0402130|Cochise Elementary District|KG|12|279849486|809703|108.05|0.313|32.107811|-110.004782
AZ|0402190|9500000US0402190|Concho Elementary District|PK|12|951154991|1336564|367.243|0.516|34.444949|-109.709531
AZ|0402220|9500000US0402220|Congress Elementary District|KG|12|2423094010|134194|935.562|0.052|34.19585|-113.041815
AZ|0402250|9500000US0402250|Continental Elementary District|PK|12|378391716|60281|146.098|0.023|31.8113|-110.931085
AZ|0402370|9500000US0402370|Cottonwood-Oak Creek Elementary District|PK|08|1109093728|20784|428.224|0.008|34.845767|-112.040556
AZ|0402400|9500000US0402400|Crane Elementary District|PK|08|117002801|1057356|45.175|0.408|32.6727|-114.689359
AZ|0402430|9500000US0402430|Creighton Elementary District|PK|08|30498686|89505|11.776|0.035|33.493157|-112.014064
AZ|0402460|9500000US0402460|Crown King Elementary District|KG|12|213599387|15578|82.471|0.006|34.192694|-112.319545
AZ|0402490|9500000US0402490|Double Adobe Elementary District|KG|12|101220213|27065|39.081|0.01|31.487679|-109.669815
AZ|0402710|9500000US0402710|Eagle Elementary District|KG|12|1478065824|594981|570.684|0.23|33.48343|-109.282928
AZ|0402760|9500000US0402760|Elfrida Elementary District|PK|08|419297238|188440|161.892|0.073|31.744457|-109.645068
AZ|0402790|9500000US0402790|Eloy Elementary District|PK|08|770383624|238568|297.447|0.092|32.613322|-111.596383
AZ|0402820|9500000US0402820|Empire Elementary District|KG|12|577944668|0|223.146|0.|31.820816|-110.592672
AZ|0403060|9500000US0403060|Fowler Elementary District|PK|08|32565455|0|12.574|0.|33.433775|-112.215203
AZ|0403240|9500000US0403240|Gadsden Elementary District|PK|08|78087951|362134|30.15|0.14|32.532483|-114.773978
AZ|0403420|9500000US0403420|Glendale Elementary District|PK|08|41073180|7542|15.858|0.003|33.540223|-112.196955
AZ|0403660|9500000US0403660|Hackberry School District|PK|12|2162189478|3150253|834.826|1.216|35.54408|-113.754824
AZ|0403900|9500000US0403900|Hyder Elementary District|PK|08|1189324772|0|459.201|0.|32.943507|-113.497889
AZ|0403960|9500000US0403960|Isaac Elementary District|PK|08|15736902|7172|6.076|0.003|33.466703|-112.143726
AZ|0404170|9500000US0404170|Kirkland Elementary District|KG|12|436796215|0|168.648|0.|34.403966|-112.642754
AZ|0404200|9500000US0404200|Klondyke Elementary District|KG|12|937029336|17587|361.789|0.007|32.803473|-110.261093
AZ|0404230|9500000US0404230|Kyrene Elementary District|PK|08|335086094|1151205|129.377|0.444|33.283026|-112.014663
AZ|0404290|9500000US0404290|Laveen Elementary District|PK|08|72377570|163214|27.945|0.063|33.364335|-112.16005
AZ|0404320|9500000US0404320|Liberty Elementary District|PK|08|678127718|0|261.827|0.|33.272409|-112.427365
AZ|0404380|9500000US0404380|Litchfield Elementary District|PK|08|170375761|683659|65.782|0.264|33.500882|-112.413818
AZ|0404440|9500000US0404440|Littleton Elementary District|PK|08|75607986|0|29.192|0.|33.408575|-112.316193
AZ|0404500|9500000US0404500|Madison Elementary District|PK|08|38458351|221444|14.849|0.086|33.525813|-112.045817
AZ|0404530|9500000US0404530|Maine Consolidated School District|KG|12|610229759|233423|235.611|0.09|35.285249|-111.967182
AZ|0404770|9500000US0404770|Altar Valley Elementary District|PK|12|1341224012|20482|517.85|0.008|31.958854|-111.365667
AZ|0404860|9500000US0404860|McNary Elementary District|KG|12|465192579|4066113|179.612|1.57|34.055012|-109.708375
AZ|0404920|9500000US0404920|McNeal Elementary District|KG|12|291557308|223294|112.571|0.086|31.559425|-109.596339
AZ|0405100|9500000US0405100|Mobile Elementary District|KG|12|648862686|0|250.527|0.|33.048252|-112.34186
AZ|0405190|9500000US0405190|Mohave Valley Elementary District|PK|08|1069478751|5027308|412.928|1.941|34.951105|-114.426603
AZ|0405220|9500000US0405220|Mohawk Valley Elementary District|PK|08|4659604026|3400|1799.083|0.001|32.961515|-113.741994
AZ|0405340|9500000US0405340|Morristown Elementary District|PK|12|402339142|79668|155.344|0.031|33.874954|-112.583558
AZ|0405400|9500000US0405400|Murphy Elementary District|PK|08|17640401|100686|6.811|0.039|33.431436|-112.123734
AZ|0405430|9500000US0405430|Naco Elementary District|KG|12|40753153|13749|15.735|0.005|31.363265|-109.973434
AZ|0405640|9500000US0405640|Oracle Elementary District|PK|12|775520238|695|299.43|0.|32.626008|-110.844861
AZ|0405670|9500000US0405670|Osborn Elementary District|PK|08|17988374|95478|6.945|0.037|33.496072|-112.078949
AZ|0405730|9500000US0405730|Owens-Whitney Elementary District|KG|12|5124828514|18775977|1978.707|7.249|34.665604|-113.652899
AZ|0405760|9500000US0405760|Tonto Basin Elementary District|KG|12|934388617|30459954|360.769|11.761|33.857052|-111.245822
AZ|0405850|9500000US0405850|Palo Verde Elementary District|PK|08|168649580|160902|65.116|0.062|33.400436|-112.684401
AZ|0405880|9500000US0405880|Palominas Elementary District|PK|12|497121971|154392|191.94|0.06|31.43125|-110.131828
AZ|0406000|9500000US0406000|Patagonia Elementary District|PK|08|1112614022|1359520|429.583|0.525|31.518805|-110.757164
AZ|0406150|9500000US0406150|Pearce Elementary District|PK|08|520388494|272703|200.923|0.105|31.90129|-109.851655
AZ|0406210|9500000US0406210|Pendergast Elementary District|PK|08|50232875|331697|19.395|0.128|33.498627|-112.276458
AZ|0406300|9500000US0406300|Phoenix Elementary District|PK|08|40064828|5154|15.469|0.002|33.453077|-112.078344
AZ|0406360|9500000US0406360|Picacho Elementary District|PK|08|653161158|3185423|252.187|1.23|32.715727|-111.358841
AZ|0406510|9500000US0406510|Pine Strawberry Elementary District|PK|12|732963061|683056|282.999|0.264|34.303856|-111.561122
AZ|0406630|9500000US0406630|Pomerene Elementary District|KG|12|98103120|49602|37.878|0.019|31.989771|-110.206379
AZ|0406780|9500000US0406780|Quartzsite Elementary District|PK|08|3553206245|14536929|1371.901|5.613|33.421912|-114.38376
AZ|0406900|9500000US0406900|Red Rock Elementary District|PK|08|433389726|19541|167.333|0.008|32.550169|-111.236054
AZ|0406930|9500000US0406930|Redington Elementary District|PK|12|363731492|0|140.438|0.|32.419251|-110.534173
AZ|0407020|9500000US0407020|Riverside Elementary District|PK|08|23821497|811808|9.198|0.313|33.42414|-112.170386
AZ|0407080|9500000US0407080|Roosevelt Elementary District|PK|08|85912908|85201|33.171|0.033|33.386516|-112.067681
AZ|0407200|9500000US0407200|Sacaton Elementary District|PK|08|728221082|184214|281.168|0.071|33.125752|-111.931526
AZ|0407380|9500000US0407380|San Fernando Elementary District|KG|12|726397465|290678|280.464|0.112|31.633292|-111.491421
AZ|0407500|9500000US0407500|Santa Cruz Elementary District|KG|12|205784110|270891|79.454|0.105|31.39941|-110.805467
AZ|0407680|9500000US0407680|Sentinel Elementary District|KG|12|1211778173|210596|467.87|0.081|33.015496|-113.212247
AZ|0407770|9500000US0407770|Skull Valley Elementary District|KG|12|677426725|0|261.556|0.|34.597226|-112.761228
AZ|0407860|9500000US0407860|Solomon Elementary District|PK|12|3398484621|9477978|1312.162|3.659|32.867481|-109.45965
AZ|0407890|9500000US0407890|Somerton Elementary District|PK|08|227786605|191468|87.949|0.074|32.539597|-114.705658
AZ|0407920|9500000US0407920|Sonoita Elementary District|PK|08|682773700|282654|263.62|0.109|31.619765|-110.600377
AZ|0408130|9500000US0408130|Stanfield Elementary District|PK|08|1469651716|323858|567.436|0.125|32.721537|-112.049397
AZ|0408310|9500000US0408310|Tempe School District|PK|08|93401564|978148|36.063|0.378|33.406288|-111.937854
AZ|0408430|9500000US0408430|Paloma School District|KG|12|234516054|0|90.547|0.|32.933988|-112.90146
AZ|0408460|9500000US0408460|Hillside Elementary District|KG|12|291297877|0|112.471|0.|34.464412|-112.887465
AZ|0408490|9500000US0408490|Tolleson Elementary District|PK|08|16021463|0|6.186|0.|33.455958|-112.258651
AZ|0408550|9500000US0408550|Toltec Elementary District|PK|08|241683556|338630|93.315|0.131|32.756936|-111.685115
AZ|0408640|9500000US0408640|Topock Elementary District|PK|08|479028555|18333566|184.954|7.079|34.69689|-114.344246
AZ|0408820|9500000US0408820|Union Elementary District|PK|08|90722180|18096|35.028|0.007|33.350576|-112.258088
AZ|0408880|9500000US0408880|Valentine Elementary District|KG|12|339177620|162998|130.957|0.063|35.381809|-113.61859
